gm_code,gm_naam,sted,aant_inw,opp_land,g_gas_tot_2010,g_gas_tot_2011,g_gas_tot_2012,g_gas_tot_2013,g_gas_tot_2014,p_stad_ver_2010,p_stad_ver_2011,p_stad_ver_2012,p_stad_ver_2013,p_stad_ver_2014
GM0473,Zandvoort,2,16792,3211,1900,1450,1500,1500,1200,5,5,9,8.1,6.5
GM0501,Brielle,4,16640,2754,1900,1500,1500,1600,1200, , , , ,
GM0503,Delft,1,101034,2285,1500,1150,1200,1250,1000, , ,0,0,0
GM0518,'s-Gravenhage,1,519988,8269,1550,1200,1250,1350,1000,7,7,7.8,7.6,7.4
GM0537,Katwijk,2,64239,2461,1700,1350,1450,1550,1150, , , , ,
GM0546,Leiden,1,122561,2197,1400,1100,1150,1250,900,14,14,15.1,15,14.1
GM0547,Leiderdorp,2,26968,1155,1700,1350,1350,1500,1100, , ,0,0,0
GM0553,Lisse,2,22606,1569,1800,1400,1450,1550,1200, , , , ,
GM0556,Maassluis,2,32292,849,1600,1250,1300,1350,1050, , , , ,
GM0575,Noordwijk,2,25760,3578,1900,1500,1600,1700,1250, , , , ,
GM0576,Noordwijkerhout,3,16140,2259,1900,1500,1550,1600,1250, , , , ,
GM0579,Oegstgeest,2,23209,730,1900,1500,1500,1600,1200,8,8,9.7,9.9,9.4
GM0599,Rotterdam,1,629606,21564,1250,950,1000,1050,800,15,15,16.9,16.3,15.9
GM0603,Rijswijk,1,49328,1405,1750,1350,1450,1500,1150, , , , ,
GM0606,Schiedam,1,77108,1801,1450,1150,1200,1300,1000, , , , ,
GM0614,Westvoorne,4,14197,5315,2350,1850,1900,2050,1550, , , , ,
GM0622,Vlaardingen,1,71808,2364,1600,1250,1300,1350,1050, , , , ,
GM0626,Voorschoten,2,25211,1117,1900,1500,1600,1700,1300, , , , ,
GM0629,Wassenaar,3,25885,5116,2650,2050,2300,2450,1850, , , , ,
GM0637,Zoetermeer,2,124107,3451,1450,1100,1200,1250,950,5,5,5.1,5.1,5.1
GM0638,Zoeterwoude,4,8119,2126,1900,1450,1550,1750,1250, , , , ,
GM1525,Teylingen,3,36013,2844,1850,1450,1500,1650,1250, , , , ,
GM1621,Lansingerland,3,59035,5418,1750,1350,1450,1550,1150,5, ,0,0,0
GM1783,Westland,3,104960,8124,1850,1450,1550,1550,1150, , , , ,
GM1842,Midden-Delfland,3,18873,4735,1800,1400,1400,1550,1150, , ,0,0,0
GM1892,Zuidplas,3,40937,5964,1900,1450,1500,1600,1200, , ,0,0,0
GM1916,Leidschendam-Voorburg,1,74223,3263,1800,1400,1450,1550,1150, , ,0,0,0
GM1926,Pijnacker-Nootdorp,3,51894,3732,1550,1150,1250,1300,1000,12,12,12.1,11.9,11.5
GM0003,Appingedam,3,12001,2378,2050,1600,1750,1800,1350, , , , ,
GM0005,Bedum,4,10433,4454,2300,1850,1950,2050,1550, , , , ,
GM0007,Bellingwedde,5,8971,10837,2700,2150,2300,2400,1800, , , , ,
GM0009,Ten Boer,5,7352,4531,2450,1900,2050,2150,1600, , , , ,
GM0010,Delfzijl,4,25068,13313,2250,1750,1950,2000,1450, , , , ,
GM0014,Groningen,1,200952,7885,1700,1350,1500,1550,1150, , ,0,0,0
GM0015,Grootegast,5,12155,8671,2500,2000,2100,2250,1650, , , , ,
GM0017,Haren,4,19076,4542,2650,2100,2300,2350,1800, , , , ,
GM0018,Hoogezand-Sappemeer,3,34177,6646,2100,1650,1750,1850,1400, , ,0,0,
GM0022,Leek,4,19536,6318,2400,1900,2000,2100,1550, , , , ,
GM0024,Loppersum,5,10042,11104,2550,2000,2200,2250,1700, , , , ,
GM0025,Marum,5,10305,6446,2600,2050,2200,2300,1700, , , , ,
GM0034,Almere,2,198145,12924,650,500,500,550,400,58,58,58.5,58.7,58
GM0037,Stadskanaal,4,32621,11764,2350,1850,2000,2050,1500, , ,0,0,0
GM0040,Slochteren,5,15698,15052,2550,2050,2150,2250,1700, , , , ,
GM0047,Veendam,4,27467,7600,2350,1850,2000,2100,1550, , , , ,
GM0048,Vlagtwedde,5,16422,16740,2650,2100,2250,2350,1700, , , , ,
GM0050,Zeewolde,4,22113,24748,1550,1200,1200,1300,1000,8,10,12,11.6,12
GM0053,Winsum,5,13633,10110,2350,1850,2000,2100,1550, , , , ,
GM0056,Zuidhorn,5,18794,12548,2450,1900,2100,2150,1600, , , , ,
GM0058,Dongeradeel,4,23932,16651,2200,1700,1800,1900,1400, , , , ,
GM0059,Achtkarspelen,5,28007,10226,2350,1850,1950,2050,1500, , , , ,
GM0060,Ameland,5,3611,5865,2450,1950,2150,2250,1650, , , , ,
GM0063,het Bildt,5,10525,9233,2200,1700,1850,1950,1450, , , , ,
GM0070,Franekeradeel,4,20265,10259,2100,1650,1800,1850,1350, , , , ,
GM0072,Harlingen,3,15813,2496,1950,1550,1700,1750,1300, , , , ,
GM0074,Heerenveen,3,50290,19013,2050,1600,1750,1800,1350, , , , ,
GM0079,Kollumerland en Nieuwkruisland,5,12811,10960,2350,1800,1900,2000,1500, , , , ,
GM0080,Leeuwarden,2,107897,15441,1750,1350,1450,1550,1150, , ,0,0,0
GM0081,Leeuwarderadeel,4,10175,4090,2150,1750,1800,1900,1450, , , , ,
GM0085,Ooststellingwerf,5,25571,22397,2450,1900,2050,2100,1550, , , , ,
GM0086,Opsterland,5,29830,22448,2350,1850,2000,2100,1500, , , , ,
GM0088,Schiermonnikoog,5,919,3704,2400,1900,2000,2150,1600, , , , ,
GM0090,Smallingerland,3,55439,11766,2050,1650,1750,1800,1350, , , , ,
GM0093,Terschelling,5,4870,8345,2450,1950,2200,2400,1700, , , , ,
GM0096,Vlieland,5,1083,3544,2050,1600,1700,1750,1450, , , , ,
GM0098,Weststellingwerf,4,25520,22071,2350,1900,2000,2100,1500, , , , ,
GM0106,Assen,2,67061,8188,1950,1550,1650,1700,1300, , , , ,
GM0109,Coevorden,5,35381,29596,2450,1950,2050,2150,1600, , , , ,
GM0114,Emmen,4,107584,33517,2250,1800,1900,2000,1450, , ,0,0,0
GM0118,Hoogeveen,3,55240,12752,2100,1650,1750,1850,1350, , , , ,
GM0119,Meppel,3,32794,5555,1950,1550,1600,1700,1250, , , , ,
GM0140,Littenseradiel,5,10833,13067,2350,1850,1950,2050,1500, , , , ,
GM0141,Almelo,2,72425,6731,2050,1650,1750,1900,1200, , ,0,0,0
GM0147,Borne,3,22343,2600,2300,1800,2000,2150,1250, , ,0,0,0
GM0148,Dalfsen,5,27916,16512,2450,1900,2000,2100,1550, , , , ,
GM0150,Deventer,2,98869,13125,1850,1450,1500,1600,1200, , ,0,0,0
GM0153,Enschede,2,158351,14099,1750,1350,1450,1500,1100,10,10,10.6,9.5,9.4
GM0158,Haaksbergen,3,24332,10482,2300,1800,1850,1950,1450, , , , ,
GM0160,Hardenberg,4,59687,31226,2300,1900,2050,2150,1500, , , , ,
GM0163,Hellendoorn,4,35651,13798,2300,1800,1850,1950,1500, , , , ,
GM0164,Hengelo,2,81075,6089,2000,1600,1750,1800,1250, , ,0,0,0
GM0166,Kampen,3,51950,14227,2000,1550,1600,1700,1300, , , , ,
GM0168,Losser,4,22444,9876,2400,1850,1950,2100,1550, , , , ,
GM0171,Noordoostpolder,4,46439,46005,2050,1600,1650,1750,1300, , , , ,
GM0173,Oldenzaal,3,32110,2155,2200,1750,2000,2150,1350, , , , ,
GM0175,Ommen,5,17696,17996,2450,1950,1900,2100,1650, , , , ,
GM0177,Raalte,4,36700,17103,2250,1700,1800,1950,1450, , , , ,
GM0180,Staphorst,5,16544,13418,2550,2050,2150,2250,1700, , , , ,
GM0183,Tubbergen,5,21120,14701,2700,2150,2350,2550,1600, , , , ,
GM0184,Urk,3,19987,1151,2250,1750,1900,2000,1450, , ,0,0,0
GM0189,Wierden,4,23952,9473,2550,2000,2150,2350,1550, , , , ,
GM0193,Zwolle,2,124896,11131,1750,1350,1450,1500,1100, , ,0,0,0
GM0196,Rijnwaarden,5,10866,3960,2000,1600,1600,1750,1300, , , , ,
GM0197,Aalten,4,26912,9654,2150,1700,1750,1850,1350, , ,0,0,0
